stadion_id,naziv,tip,duzina_staze,broj_staza,broj_skakalista_dalj,broj_skakalista_vis,broj_skakalista_motka,broj_bacalista_koplje,broj_bacalista_kugla,broj_bacalista_duga_krug,dozvoljeno_bacanje,kapacitet_tribine,povrsina_kompleksa,drzava,grad,ulica,broj,geo_sirina,geo_duzina,nadmorska_visina,kratica,klub_naziv,telefon,email,web_stranica,klub_drzava,klub_grad,klub_ulica,klub_broj
5,Višnjik,Integrirani stadioni,400,6,2,1,0,1,1,3,f,,191138,Hrvatska,Zadar,Splitska ulica,3,44.119973,15.242189,21,FORZD,AK Fortius,098 1912 700,edistipic@gmail.com,,Hrvatska,Zadar,Andrije Hebranga,9
6,Park Mladeži,Integrirani stadioni,400,6,4,1,1,3,1,6,t,4075,69029,Hrvatska,Split,Ulica Hrvatske Mornarice,10,43.519131,16.444130,18,ASK,ASK,021 382 948,ask.split@st.t-com.hr,https://www.ask-split.hr,Hrvatska,Split,Ulica Hrvatske Mornarice,10
7,Gradski sportski centar Makarska,Integrirani stadioni,400,6,1,0,0,2,1,1,t,2500,50000,Hrvatska,Makarska,Franjevački put,2,43.290428,17.022280,5,SVM,AK Sveti Marko,021 610 121,josip.paunovic@email.t-com.hr,https://www.ak-svetimarko.hr,Hrvatska,Makarska,Franjevački put,2
8,Gradski stadion Križevci,Integrirani stadioni,400,6,2,0,0,2,1,2,t,440,34594,Hrvatska,Križevci,Šetalište Dragutina Novaka,,46.027072,16.549240,130,KŽ,AK Križevci,048 682 963,kz@has.hr,,Hrvatska,Križevci,Strossmayerov Trg,28
10,Gradski vrt,Integrirani stadioni,400,8,2,1,1,0,0,3,f,18856,42484,Hrvatska,Osijek,Ulica Woodrowa Wilsona,2,45.544982,18.695565,87,SO,AK Slavonija-Žito,031 570 019,so@has.hr,https://www.akslavonija-zito.hr,Hrvatska,Osijek,Martina Divalta,4
11,Kantrida,Integrirani stadioni,400,6,1,1,1,1,1,1,t,10275,42024,Hrvatska,Rijeka,Pulska ulica,30,45.339183,14.380921,1,KR,AK Kvarner,051 261 110,akkvarner@akkvarner.hr,https://www.akkvarner.hr,Hrvatska,Rijeka,Portić,1
12,Gradski stadion Vukovar,Integrirani stadioni,400,6,2,0,0,2,1,1,t,186,27207,Hrvatska,Vukovar,Ulica 204. vukovarske brigade,73,45.354988,18.990651,85,VUK,AK Vukovar,099 435 3937,akvukovar2018@gmail.com,,Hrvatska,Vukovar,Trg Dražena Petrovića,2
13,Dvorana Velesajam,Specijalistička dvorana,200,4,1,1,1,0,1,0,t,300,9000,Hrvatska,Zagreb,Zagrebački velesajam,paviljon 1,45.778987,15.967512,,MZ,HAAK Mladost,01 3025 912,mz@haak-mladost.hr,https://www.haak-mladost.com,Hrvatska,Zagreb,Jarunska,1b
13,Dvorana Velesajam,Specijalistička dvorana,200,4,1,1,1,0,1,0,t,300,9000,Hrvatska,Zagreb,Zagrebački velesajam,paviljon 1,45.778987,15.967512,,AGR,AK Agram,01 30 14 885,agram@atletskiklubagram.hr,https://www.atletskiklubagram.hr/,Hrvatska,Zagreb,Jarunska,1b
13,Dvorana Velesajam,Specijalistička dvorana,200,4,1,1,1,0,1,0,t,300,9000,Hrvatska,Zagreb,Zagrebački velesajam,paviljon 1,45.778987,15.967512,,ZAG,AK Zagreb,01 2442 940,akzagreb@akzagreb.com,https://akzagreb.com/,Hrvatska,Zagreb,Aleja Antuna Augustinčića,8
13,Dvorana Velesajam,Specijalistička dvorana,200,4,1,1,1,0,1,0,t,300,9000,Hrvatska,Zagreb,Zagrebački velesajam,paviljon 1,45.778987,15.967512,,DZ,AK Dinamo-Zrinjevac,01 2311 125,dinamo-zrinjevac@zg.t-com.hr,https://www.ak-dinamo.hr,Hrvatska,Zagreb,Maksimirska,128
14,Dvorana Kantrida,Integrirana dvorana,60,8,1,1,1,0,1,0,t,330,1352,Hrvatska,Rijeka,Istarska ulica,,45.339794,14.378829,,KR,AK Kvarner,051 261 110,akkvarner@akkvarner.hr,https://www.akkvarner.hr,Hrvatska,Rijeka,Portić,1
15,Nogometno igralište Knin,Integrirana dvorana,400,4,2,0,0,1,1,1,f,,18886,Hrvatska,Knin,Grabovčeva ulica,,44.033640,16.197946,217,KN,AK Knin,099 5910 777,info@akknin.hr,,Hrvatska,Knin,Vukovarska,22
15,Nogometno igralište Knin,Integrirana dvorana,400,4,2,0,0,1,1,1,f,,18886,Hrvatska,Knin,Grabovčeva ulica,,44.033640,16.197946,217,SVA,"AK Sveti Ante, Knin",022 660 730,sva@has.hr,,Hrvatska,Knin,Zvonimirova,4
16,Stadion Branko Čavlović-Čavlek,Integrirani stadioni,400,8,2,1,1,3,1,1,t,12000,115709,Hrvatska,Karlovac,Ulica 13. Srpnja,,45.484515,15.563979,108,KK,AK Karlovac,047 655 803,ak.karlovac1@gmail.com,,Hrvatska,Karlovac,Foginovo kupalište,bb
17,Dvorana Gradski vrt,Specijalistička dvorana,80,6,1,1,1,0,0,0,f,,1044,Hrvatska,Osijek,Ulica Kneza Trpimira,23,45.544200,18.693366,,SO,AK Slavonija-Žito,031 570 019,so@has.hr,https://www.akslavonija-zito.hr,Hrvatska,Osijek,Martina Divalta,4
18,Veruda,Integrirani stadioni,400,8,2,1,1,2,2,1,f,2500,39421,Hrvatska,Pula,Ulica Velog Jože,14,44.858386,13.834158,12,IP,AK Istra,052 223 538,ip@has.hr,src-uljanik@uljanik-standard.hr,Hrvatska,Pula,Ulica Velog Jože,13
19,Gradski stadion Kutina,Integrirani stadioni,400,6,1,0,0,0,1,0,t,1000,51988,Hrvatska,Kutina,Ulica Hrvatskih branitelja,8a,45.487862,16.782646,107,MK,AK Moslavina,044 681 851,akmoslavina1@gmail.com,https://akmoslavina538.blog.hr,Hrvatska,Kutina,Batina,10
20,Gradski stadion Vinkovci,Integrirani stadioni,400,6,1,1,0,0,1,1,f,8200,100080,Hrvatska,Vinkovci,Ulica Hansa Dietricha Genschera,10B,45.283757,18.797307,81,CV,AK Cibalia,032 334 678,info@ak-cibalia.hr,,Hrvatska,Vinkovci,Ulica Hansa Dietricha Genschera,10B
21,Otvoreno igralište Kampus,Integrirani stadioni,400,4,1,0,0,0,1,0,t,,37566,Hrvatska,Rijeka,Slavka Krautzeka,84,45.325856,14.467127,108,,,,,,,,,
9,OŠ Mrkopalj,Školsko igralište,300,4,1,0,0,0,1,0,t,0,17662,Hrvatska,Mrkopalj,Školska ulica,2,45.312854,14.850748,822,,,,,,,,,
